table_name,column_name,data_type_left,__key,data_type_right,db2_type_raw,pg_type_raw,db2_type_norm,pg_type_norm,notes
accion_ambito,ccl_id_origen,VARGRAPHIC(24 codeunits16),accion_ambito||ccl_id_origen,varchar(24),VARGRAPHIC(24 codeunits16),varchar(24),vargraphic(24),varchar(24),Encoding/length: DB2 VARGRAPHIC uses UTF-16 code units; PG varchar uses character count (UTF-8). Check max lengths.; Verify VARGRAPHIC→VARCHAR lengths after encoding change (UTF-16→UTF-8).
accion_ambito,std_id_leg_ent,VARGRAPHIC(24 codeunits16),accion_ambito||std_id_leg_ent,varchar(24),VARGRAPHIC(24 codeunits16),varchar(24),vargraphic(24),varchar(24),Encoding/length: DB2 VARGRAPHIC uses UTF-16 code units; PG varchar uses character count (UTF-8). Check max lengths.; Verify VARGRAPHIC→VARCHAR lengths after encoding change (UTF-16→UTF-8).
algoritmo_tipo_calculo,id_tipo_calculo,VARGRAPHIC(12 codeunits16),algoritmo_tipo_calculo||id_tipo_calculo,varchar(12),VARGRAPHIC(12 codeunits16),varchar(12),vargraphic(12),varchar(12),Encoding/length: DB2 VARGRAPHIC uses UTF-16 code units; PG varchar uses character count (UTF-8). Check max lengths.; Verify VARGRAPHIC→VARCHAR lengths after encoding change (UTF-16→UTF-8).
algoritmo_tipo_comision,id_tipo_comision,VARGRAPHIC(12 codeunits16),algoritmo_tipo_comision||id_tipo_comision,varchar(12),VARGRAPHIC(12 codeunits16),varchar(12),vargraphic(12),varchar(12),Encoding/length: DB2 VARGRAPHIC uses UTF-16 code units; PG varchar uses character count (UTF-8). Check max lengths.; Verify VARGRAPHIC→VARCHAR lengths after encoding change (UTF-16→UTF-8).
clase_persona_sil_ambito,ccl_id_origen,VARGRAPHIC(24 codeunits16),clase_persona_sil_ambito||ccl_id_origen,varchar(24),VARGRAPHIC(24 codeunits16),varchar(24),vargraphic(24),varchar(24),Encoding/length: DB2 VARGRAPHIC uses UTF-16 code units; PG varchar uses character count (UTF-8). Check max lengths.; Verify VARGRAPHIC→VARCHAR lengths after encoding change (UTF-16→UTF-8).
clase_persona_sil_ambito,id_clase_persona_sil_ambito,BIGINT generated always as identity (start with 1 minvalue -9223372036854775808),clase_persona_sil_ambito||id_clase_persona_sil_ambito,bigint generated always as identity (start with 1),BIGINT generated always as identity (start with 1 minvalue -9223372036854775808),bigint generated always as identity (start with 1),bigint generated always as identity(start with 1 minvalue -9223372036854775808),bigint generated always as identity(start with 1),
clase_persona_sil_ambito,std_id_leg_ent,VARGRAPHIC(24 codeunits16),clase_persona_sil_ambito||std_id_leg_ent,varchar(24),VARGRAPHIC(24 codeunits16),varchar(24),vargraphic(24),varchar(24),Encoding/length: DB2 VARGRAPHIC uses UTF-16 code units; PG varchar uses character count (UTF-8). Check max lengths.; Verify VARGRAPHIC→VARCHAR lengths after encoding change (UTF-16→UTF-8).
condicion,ccl_id_seccion,VARGRAPHIC(2 codeunits16),condicion||ccl_id_seccion,varchar(2),VARGRAPHIC(2 codeunits16),varchar(2),vargraphic(2),varchar(2),Encoding/length: DB2 VARGRAPHIC uses UTF-16 code units; PG varchar uses character count (UTF-8). Check max lengths.; Verify VARGRAPHIC→VARCHAR lengths after encoding change (UTF-16→UTF-8).
condicion,icm_id_tp_calculo,VARGRAPHIC(24 codeunits16),condicion||icm_id_tp_calculo,varchar(24),VARGRAPHIC(24 codeunits16),varchar(24),vargraphic(24),varchar(24),Encoding/length: DB2 VARGRAPHIC uses UTF-16 code units; PG varchar uses character count (UTF-8). Check max lengths.; Verify VARGRAPHIC→VARCHAR lengths after encoding change (UTF-16→UTF-8).
condicion,icm_id_tp_comision,VARGRAPHIC(24 codeunits16),condicion||icm_id_tp_comision,varchar(24),VARGRAPHIC(24 codeunits16),varchar(24),vargraphic(24),varchar(24),Encoding/length: DB2 VARGRAPHIC uses UTF-16 code units; PG varchar uses character count (UTF-8). Check max lengths.; Verify VARGRAPHIC→VARCHAR lengths after encoding change (UTF-16→UTF-8).
