db2_type_norm,pg_type_norm,columns_count,tables_count,tables_sample,risk_notes_any
vargraphic(24),varchar(24),230,89,"accion_ambito, clase_persona_sil_ambito, condicion, configuracion_aplicacion_baja_it, configuracion_jornada_laboral, localizacion_ficticia_historico, mail_ambito, paralelo_comparativa_challenge, paralelo_comparativa_detalle, paralelo_comparativa_politicas ...",Encoding/length: DB2 VARGRAPHIC uses UTF-16 code units; PG varchar uses character count (UTF-8). Check max lengths.; Verify VARGRAPHIC→VARCHAR lengths after encoding change (UTF-16→UTF-8).
vargraphic(2),varchar(2),30,19,"condicion, paralelo_comparativa_challenge, paralelo_comparativa_detalle, paralelo_comparativa_por_venta, paralelo_comparativa_precio_hora, simulacion_localizacion_banda_excepcion, tarea_agrupacion_presencia, tarea_agrupacion_venta, tarea_localizacion_abierta, tarea_localizacion_estado ...",Encoding/length: DB2 VARGRAPHIC uses UTF-16 code units; PG varchar uses character count (UTF-8). Check max lengths.; Verify VARGRAPHIC→VARCHAR lengths after encoding change (UTF-16→UTF-8).
vargraphic(12),varchar(12),24,22,"algoritmo_tipo_calculo, algoritmo_tipo_comision, localizacion_ficticia_historico, regla_validacion_excedidos, simulacion, tarea_calculo, tarea_calculo_ajuste_comision, tarea_localizacion_estado, tarea_localizacion_historico, tarea_localizacion_jornada ...",Encoding/length: DB2 VARGRAPHIC uses UTF-16 code units; PG varchar uses character count (UTF-8). Check max lengths.; Verify VARGRAPHIC→VARCHAR lengths after encoding change (UTF-16→UTF-8).
bigint generated always as identity(start with 1 minvalue -9223372036854775808),bigint generated always as identity(start with 1),14,14,"clase_persona_sil_ambito, proceso, proceso_ambito_empresa, proceso_ambito_localizacion, proceso_ambito_origen, proceso_ambito_persona, simulacion_localizacion_banda_excepcion, tarea_ambito_global_empresa, tarea_ambito_global_fecha, tarea_localizacion_estado ...",
vargraphic(9),varchar(9),5,5,"simulacion, tarea_persona_coeficiente, tarea_persona_estructura, tarea_persona_estructura_desplazamiento_real, tarea_persona_historico",Encoding/length: DB2 VARGRAPHIC uses UTF-16 code units; PG varchar uses character count (UTF-8). Check max lengths.; Verify VARGRAPHIC→VARCHAR lengths after encoding change (UTF-16→UTF-8).
bigint generated always as identity(start with 1 minvalue -9223372036854775808 cache 100),bigint generated always as identity(start with 1 cache 100),2,2,"paralelo_comparativa_detalle, paralelo_comparativa_total",
bigint generated always as identity(start with 1 minvalue 0),bigint generated always as identity(start with 1),2,2,"tarea_calculo_ajuste, tarea_calculo_ajuste_comision",
vargraphic(4),varchar(4),2,2,"localizacion_ficticia_historico, tarea_localizacion_historico",Encoding/length: DB2 VARGRAPHIC uses UTF-16 code units; PG varchar uses character count (UTF-8). Check max lengths.; Verify VARGRAPHIC→VARCHAR lengths after encoding change (UTF-16→UTF-8).
vargraphic(8),varchar(8),2,2,"configuracion_aplicacion_baja_it, tarea_localizacion_historico",Encoding/length: DB2 VARGRAPHIC uses UTF-16 code units; PG varchar uses character count (UTF-8). Check max lengths.; Verify VARGRAPHIC→VARCHAR lengths after encoding change (UTF-16→UTF-8).
bigint generated always as identity(minvalue 0),bigint generated always as identity,1,1,tarea_persona_externa,
bigint generated always as identity(start with 1 minvalue -2147483648 maxvalue 2147483647),bigint generated always as identity(start with 1),1,1,paralelo_peticion,
time,time without time zone,1,1,programacion,
vargraphic(54),varchar(54),1,1,trabajo_ambito_persona,Encoding/length: DB2 VARGRAPHIC uses UTF-16 code units; PG varchar uses character count (UTF-8). Check max lengths.; Verify VARGRAPHIC→VARCHAR lengths after encoding change (UTF-16→UTF-8).
